,region,exposure_category,wri_category,vulnerability_category,susceptibility_category,wri,exposure,vulnerability,susceptibility,lack_of_coping_capabilities,lack_of_adaptive_capacities,year,exposure_Sklearn
36,tonga,Very High,Very High,Medium,Medium,1.2174648681952687,55.27,0.3392573665483932,0.015655932709717272,0.707654887161164,0.09101029061712562,2015.0,0.5531403385755785
37,philippines,Very High,Very High,High,High,1.161434206247206,52.46,0.5001770499851619,0.31495120006020216,0.5901705375446946,0.4303747792850832,2015.0,0.5249924872282881
38,guatemala,Very High,Very High,High,High,0.2220265123094716,36.3,0.6758044464242161,0.5491822788562343,0.5915209323678722,0.7219646554706586,2015.0,0.3631172994089952
39,solomon islands,Very High,Very High,Very High,High,0.12546303107983112,29.98,1.452717756780229,1.481459152000757,0.9682810880344818,1.6560406995227563,2015.0,0.2998096764499649
40,bangladesh,Very High,Very High,High,High,0.12188660584910398,31.7,1.1429906241438672,0.9702405276443383,1.0283736576658946,1.151112467596887,2015.0,0.3170389662426124
41,costa rica,Very High,Very High,Low,Medium,-0.1272710185582393,42.61,-0.6279910532489587,-0.651716744177389,-0.4712397934730663,-0.6404355004924536,2015.0,0.4263247520785335
42,cambodia,Very High,Very High,High,High,-0.16899597958339266,27.65,1.1499119008508254,1.0120675060007729,1.0553815541294511,1.1000430542536508,2015.0,0.276469998998297
43,el salvador,Very High,Very High,Medium,High,-0.17138026307054421,32.6,0.34444832407861176,0.1132522155413969,0.24176867316481906,0.5877015203908601,2015.0,0.3260542922969047
44,brunei darussalam,Very High,Very High,Low,Low,-0.2488694764029718,41.1,-0.7153721716743007,-1.0086402928189613,-0.5428107191014906,-0.4872272604627445,2015.0,0.4111990383652208
45,mauritius,Very High,Very High,Low,Low,-0.4264985961957666,37.35,-0.7179676504394099,-0.964024849238765,-0.6609702661295491,-0.39003063506755276,2015.0,0.3736351798056696
46,nicaragua,Very High,Very High,High,High,-0.43007502142649395,27.23,0.5365137526966905,0.782483869244345,0.6111016573039508,0.09348139126276618,2015.0,0.2722628468396273
