,region,exposure_category,wri_category,vulnerability_category,susceptibility_category,wri,exposure,vulnerability,susceptibility,lack_of_coping_capabilities,lack_of_adaptive_capacities,year,exposure_Sklearn
159,guatemala,Very High,Very High,High,High,0.29951572564189877,36.3,0.8315331723307663,0.805721079442364,0.6657926476426524,0.8504618890439631,2012.0,0.3631172994089952
160,bangladesh,Very High,Very High,Very High,High,0.23633221323238096,31.7,1.4042688198315243,1.3810744039453149,1.0479543826019733,1.5085983609995417,2012.0,0.3170389662426124
161,solomon islands,Very High,Very High,High,High,-0.010441127687810756,29.98,1.124822272788103,1.4266193359334323,0.8737534504120354,0.881762497222076,2012.0,0.2998096764499649
162,costa rica,Very High,Very High,Low,Low,-0.10223604194314771,42.61,-0.5838679142421029,-0.65264623258531,-0.3841393273780979,-0.6198429951121164,2012.0,0.4263247520785335
163,cambodia,Very High,Very High,High,High,-0.1272710185582393,27.65,1.2563265302203013,1.609728552293822,1.037151224016551,0.8974128013111321,2012.0,0.276469998998297
164,el salvador,Very High,Very High,Medium,Medium,-0.16065098737836198,32.6,0.3695379521413337,0.02866877042060798,0.36397940466241036,0.5852304197452195,2012.0,0.3260542922969047
165,brunei darussalam,Very High,Very High,Low,Very Low,-0.2762887365052152,41.1,-0.7638211086230055,-1.305147094945684,-0.38211373514333113,-0.5580654789711046,2012.0,0.4111990383652208
166,mauritius,Very High,Very High,Low,Low,-0.33947224891473277,37.35,-0.5483963711189439,-0.8943132186447079,-0.6265351981385151,-0.00948113563892005,2012.0,0.3736351798056696
167,nicaragua,Very High,Very High,High,High,-0.3430486741454603,27.23,0.7683765223797766,0.9107532695374096,0.7670722593809883,0.45261468509584774,2012.0,0.2722628468396273
168,fiji,Very High,Very High,Medium,Medium,-0.5421363453226198,27.71,0.16016933175586023,-0.2250815649417598,0.2701269644515523,0.32576485195297034,2012.0,0.2770710207352499
169,japan,Very High,Very High,Very Low,Very Low,-0.5612106132198327,45.91,-1.5649588874533702,-1.1238968554011357,-2.363818138156771,-0.5893660871492168,2012.0,0.4593809476109385
170,chile,Very High,Very High,Low,Low,-0.7126126146539599,30.95,-0.6876870648464695,-0.7121334906922387,-0.9101181110058555,-0.2228194913792142,2012.0,0.3095261945307022
171,netherlands,Very High,High,Very Low,Very Low,-1.1620500519820385,30.57,-1.7120360174762232,-1.3683523066842957,-2.1727372706771106,-1.0259272012123666,2012.0,0.305719723530001
172,katar,Very Low,Very Low,Very Low,Very Low,-2.1622569748421387,0.28,-0.9835716440689154,-1.7661733452743815,-1.074866279433549,0.0679466845911478,2012.0,0.0023039166583191
173,vanuatu,Very High,Very High,High,High,3.8199102944212515,86.46,0.9171839715793692,0.6932529820839519,1.0162201042572947,0.7647970666617603,2018.0,0.8655714715015526
174,tonga,Very High,Very High,High,High,1.333102617322122,55.92,0.4378855596225419,0.029598258828528554,0.5901705375446946,0.5028603982238705,2018.0,0.5596514073925674
175,philippines,Very High,Very High,High,High,0.8228659510716774,49.94,0.2406291734742446,0.09001500534337788,0.6921253466946189,-0.237646095253057,2018.0,0.4997495742762696
176,solomon islands,Very High,Very High,High,Very High,0.6023197285101531,37.81,1.2147988699785548,1.735209487363125,0.7414147577406093,1.0275574353148633,2018.0,0.3782430131223079
177,guyana,Very High,Very High,High,Medium,0.5951668780486985,45.56,0.29686454671827656,-0.11911988643879333,0.4078672364156896,0.4559094859567016,2018.0,0.4558749874787138
178,papua new guinea,Very High,Very High,Very High,Very High,0.3150135683083841,31.05,1.7036140374074484,2.5066848659373564,0.8426943694789453,1.6173267894077223,2018.0,0.3105278974256235
179,guatemala,Very High,Very High,High,High,0.2816335994882619,38.5,0.5148847629874473,0.40604106403643647,0.677271003639663,0.28457984119229585,2018.0,0.3851547630972653
180,brunei darussalam,Very High,Very High,Low,Very Low,0.0694323691317684,52.71,-1.0242341447222922,-1.2837688615635066,-0.662995858364316,-0.9789762889451978,2018.0,0.5274967444655915
181,bangladesh,Very High,Very High,High,High,-0.10223604194314771,29.95,0.9068020565189326,0.47482320622257296,0.9210172692232582,1.046502540264774,2018.0,0.2995091655814885
182,fiji,Very High,Very High,Medium,Medium,-0.19760738142921222,35.51,-0.07515407628070471,-0.5838640903991738,0.2809301230369755,-0.03913434338660564,2018.0,0.3552038465391164
183,costa rica,Very High,Very High,Low,Low,-0.19999166491636378,44.27,-0.8771570146994395,-0.7613963763120388,-0.6164072369646816,-1.0794677152012435,2018.0,0.4429530201342282
184,cambodia,Very High,Very High,High,High,-0.258406610351578,27.13,1.0097560475349296,1.1487023019651246,0.9932633922632716,0.6552449380383663,2018.0,0.2712611439447059
185,east timor,Very High,Very High,High,High,-0.2607908938387296,26.96,1.0391714735395006,1.543734875331448,0.4976684921570141,0.9921383260606833,2018.0,0.2695582490233397
186,el salvador,Very High,Very High,Medium,Medium,-0.2727123112744878,33.46,0.008766403791158468,-0.2771329157853226,0.3065876246773537,-0.10338296017325795,2018.0,0.3346689371932285
187,kiribati,Very High,Very High,High,High,-0.33589582368400545,26.37,0.9448690784072004,1.2109780252958158,0.7623458774998655,0.6947825483686135,2018.0,0.2636482019433036
188,mauritius,Very High,Very High,Low,Low,-0.4729921241952231,37.22,-0.7958320133926851,-1.0151467116744066,-0.8142400785602312,-0.3809699327002038,2018.0,0.3723329660422718
189,nicaragua,Very High,Very High,High,High,-0.5063720930153456,26.27,0.4932557732782043,0.2638293376245603,0.6002984987185276,0.4443776829437127,2018.0,0.2626464990483822
190,chile,Very High,Very High,Low,Low,-0.8449403481908742,31.84,-1.0839301563198032,-0.9212683824744099,-0.8311200138499538,-1.2639765634090652,2018.0,0.3184413502955023
191,japan,Very High,Very High,Very Low,Low,-0.8532853403959049,46.55,-2.0537740548822647,-1.0235121073456934,-2.223377076546279,-2.247474620373972,2018.0,0.4657918461384353
192,netherlands,Very High,High,Very Low,Very Low,-1.2860327933139222,31.86,-2.0901107575937927,-1.258672674549646,-2.0545777236490523,-2.3487897468452315,2018.0,0.3186416908744866
193,vanuatu,Very High,Very High,High,High,2.1509118534151246,63.66,0.8168254593284814,0.5845028383572227,0.6644422528194739,1.0036701290736723,2016.0,0.6371832114594811
194,tonga,Very High,Very High,High,Medium,1.3223733416299395,55.27,0.47854806027591884,0.00450207181466805,0.707654887161164,0.49791819693258943,2016.0,0.5531403385755785
195,philippines,Very High,Very High,High,High,1.0088400630695027,52.46,0.2899432700113189,0.29914989712554907,0.6482375149413405,-0.22693799245528143,2016.0,0.5249924872282881
196,guatemala,Very High,Very High,High,High,0.1957993939508036,36.3,0.6238948711220325,0.6700157718859329,0.6536390942340516,0.390837168954836,2016.0,0.3631172994089952
197,bangladesh,Very High,Very High,High,High,0.11115733015692175,31.7,1.1187661556695148,0.8940224781948359,1.0155449068457054,1.1634679708250897,2016.0,0.3170389662426124
198,solomon islands,Very High,Very High,Very High,High,0.1075809049261942,29.98,1.4085946177733726,1.431266777973036,0.9615291139185931,1.5802602797231151,2016.0,0.2998096764499649
199,brunei darussalam,Very High,Very High,Low,Low,-0.14753742819902818,41.1,-0.5354189772933982,-1.042101875504109,-0.5502378906289684,0.06712298437593449,2016.0,0.4111990383652208
200,costa rica,Very High,Very High,Low,Low,-0.14753742819902818,42.61,-0.6625974367837475,-0.6777424195991705,-0.5090508485220452,-0.6709124084553525,2016.0,0.4263247520785335
201,cambodia,Very High,Very High,High,High,-0.19760738142921222,27.65,1.0737778570742895,0.8308172664562242,1.0479543826019733,1.0522684417712684,2016.0,0.276469998998297
202,el salvador,Very High,Very High,Medium,Medium,-0.2607908938387296,32.6,0.14719193793031451,-0.07171597763483437,0.23366630422575188,0.1997387190253063,2016.0,0.3260542922969047
203,mauritius,Very High,Very High,Low,Low,-0.3227822645046716,37.35,-0.5163854663492643,-0.9844735942130216,-0.6569190816600156,0.1997387190253063,2016.0,0.3736351798056696
204,nicaragua,Very High,Very High,High,High,-0.4312671631700699,27.23,0.531322795166472,0.4701757641829694,0.6333831718863846,0.3290596528138242,2016.0,0.2722628468396273
205,fiji,Very High,Very High,Medium,Medium,-0.6065119994757131,27.71,-0.0068064687994965475,-0.4119087349338329,0.2275895275214515,0.06877038480636113,2016.0,0.2770710207352499
206,japan,Very High,Very High,Very Low,Low,-0.6255862673729261,45.91,-1.666182559292628,-1.0030633623714367,-2.2470089859518905,-1.1297134283292665,2016.0,0.4593809476109385
207,chile,Very High,Very High,Low,Low,-0.7853332610120839,30.95,-0.8555280249901964,-0.8311080069060959,-0.85812791031351,-0.6602043056575769,2016.0,0.3095261945307022
208,netherlands,Very High,High,Very Low,Very Low,-1.1918535955714336,30.57,-1.7829791037225406,-1.2224226266407363,-2.0316210116550297,-1.5300317329230224,2016.0,0.305719723530001
209,south korea,Very High,Very High,Very Low,High,-0.39907933609352303,30.82,-2.8756756638335026,1.6673568335849092,-2.682511316426735,-6.418940713156396,2016.0,0.3082239807673044
210,qatar,Very Low,Very Low,Very Low,Very Low,-2.164641258329291,0.28,-1.675699314764695,-1.7596669264189362,-1.848642513114436,-0.9707392867930629,2016.0,0.0023039166583191
