,region,exposure_category,wri_category,vulnerability_category,susceptibility_category,wri,exposure,vulnerability,susceptibility,lack_of_coping_capabilities,lack_of_adaptive_capacities,year
197,bangladesh,Very High,Very High,High,High,19.17,31.7,60.48,38.23,86.36,56.84,2016.0
198,solomon islands,Very High,Very High,Very High,High,19.14,29.98,63.83,44.01,85.56,61.9,2016.0
199,brunei darussalam,Very High,Very High,Low,Low,17.0,41.1,41.36,17.4,63.17,43.53,2016.0
200,costa rica,Very High,Very High,Low,Low,17.0,42.61,39.89,21.32,63.78,34.57,2016.0
201,cambodia,Very High,Very High,High,High,16.58,27.65,59.96,37.55,86.84,55.49,2016.0
202,el salvador,Very High,Very High,Medium,Medium,16.05,32.6,49.25,27.84,74.78,45.14,2016.0
203,mauritius,Very High,Very High,Low,Low,15.53,37.35,41.58,18.02,61.59,45.14,2016.0
204,nicaragua,Very High,Very High,High,High,14.62,27.23,53.69,33.67,80.7,46.71,2016.0
205,fiji,Very High,Very High,Medium,Medium,13.15,27.71,47.47,24.18,74.69,43.55,2016.0
206,japan,Very High,Very High,Very Low,Low,12.99,45.91,28.29,17.82,38.04,29.0,2016.0
207,chile,Very High,Very High,Low,Low,11.65,30.95,37.66,19.67,58.61,34.7,2016.0
208,netherlands,Very High,High,Very Low,Very Low,8.24,30.57,26.94,15.46,41.23,24.14,2016.0
209,south korea,Very High,Very High,Very Low,High,14.89,30.82,14.31,46.55,31.59,-35.213013267894404,2016.0
210,qatar,Very Low,Very Low,Very Low,Very Low,0.08,0.28,28.18,9.68,43.94,30.93,2016.0
