,accuracy,precision,recall,f1,kappa,set,modelo
2,0.9369668276482742,0.9257501817827452,0.9251884149173673,0.925469213100872,0.8708603733769047,test,Regresión logistica Balanceados
3,0.9365539740812864,0.9241938149906834,0.9252905014170112,0.9247418330534508,0.8699030617258213,train,Regresión logistica Balanceados
6,0.9337471954975852,0.9057136884897323,0.9413703720351808,0.9231978664237249,0.8649844934886933,test,Decision Tree II
7,0.9339190052081435,0.9052743096609501,0.9416740479132228,0.923115494977818,0.8652153915650735,train,Decision Tree II
