,region,wri_category,vulnerability_category,susceptibility_category,wri,exposure,vulnerability,susceptibility,lack_of_coping_capabilities,lack_of_adaptive_capacities,year,exposure_Sklearn,vulnerability_categorymap,susceptibility_categorymap,wri_categorymap
12,jamaica,Very High,Medium,Medium,-0.637507684808684,28.11,-0.1469623221153916,-0.2129982156387899,0.0047743816971125,-0.237646095253057,2011.0,0.2810778323149354,3,3,5
13,chile,Very High,Low,Low,-0.7471847252176581,31.25,-0.7992926517461638,-0.6275500455714494,-1.0417816062656924,-0.4551029520694183,2011.0,0.3125313032154663,2,2,5
14,mauritius,Very High,Low,Low,-0.7543375756791131,29.59,-0.632316851190807,-0.8404028909853036,-0.7588738908099408,-0.1346835683513707,2011.0,0.2959030351597715,2,2,5
15,japan,High,Very Low,Very Low,-0.8473246316780257,39.57,-1.6800251127065435,-1.1443456003753925,-2.34018622875116,-0.9287305758171748,2011.0,0.3958729840729239,1,1,4
16,netherlands,Medium,Very Low,Very Low,-1.255037107980951,29.24,-1.832293200259615,-1.3590574226050882,-2.201770759375434,-1.3422280838543466,2011.0,0.2923970750275468,1,1,3
17,katar,Very Low,Very Low,Very Low,-2.171794108790745,0.05,-1.2431195205798329,-1.7856926018407175,-1.2963310304347104,-0.3859121339914849,2011.0,0.0,1,1,1
18,vanuatu,Very High,High,High,2.168793979568761,63.66,0.8375892894493543,0.5621951165671243,0.6718694243469518,1.0753320477972463,2013.0,0.6371832114594811,4,4,5
19,tonga,Very High,Medium,Medium,1.1912377498366011,55.27,0.3046509830136044,-0.0828698385298836,0.6239304081241399,0.1832647147210362,2013.0,0.5531403385755785,3,3,5
20,philippines,Very High,Medium,High,1.1065956860427189,52.46,0.4249081657969961,0.4766821830384147,0.6178536314198395,0.0366460764130349,2013.0,0.5249924872282881,3,4,5
21,guatemala,Very High,High,High,0.3150135683083841,36.3,0.8635440771004464,0.925625084064142,0.6401351460022733,0.8644647927025927,2013.0,0.3631172994089952,4,4,5
22,bangladesh,Very High,High,High,0.1874544017457729,31.7,1.2935283925201997,1.1440548599255211,1.00676734049505,1.4517630461498112,2013.0,0.3170389662426124,4,4,5
23,solomon islands,Very High,High,High,-0.0152096946621138,29.98,1.1118448789625572,1.4266193359334325,0.8663262788845576,0.854580390120031,2013.0,0.2998096764499649,4,4,5
24,costa rica,Very High,Low,Low,-0.1546902786604828,42.61,-0.6747096710209237,-0.6535757209932308,-0.4874445313512007,-0.7524587297614882,2013.0,0.4263247520785335,2,2,5
25,cambodia,Very High,High,High,-0.1594588456347864,27.65,1.1741363693251772,1.3810744039453149,1.0317496447238388,0.870230694209087,2013.0,0.276469998998297,4,4,5
26,el salvador,Very High,Medium,Medium,-0.1654195543526651,32.6,0.3582908774925271,0.0825790980800119,0.2951092686803421,0.5901726210365007,2013.0,0.3260542922969047,3,3,5
27,brunei darussalam,Very High,Low,Very Low,-0.2905944374281247,41.1,-0.7880455770973578,-1.3135124906169708,-0.4476078840674549,-0.5407677744516213,2013.0,0.4111990383652208,2,1,5
28,mauritius,Very High,Low,Low,-0.3645072255298248,37.35,-0.5977104676560182,-0.89710168386847,-0.7230884279957287,-0.0300736410192572,2013.0,0.3736351798056696,2,2,5
29,nicaragua,Very High,High,High,-0.399079336093523,27.23,0.6178387540034445,0.7880607996918698,0.6752454114048961,0.2417474300011941,2013.0,0.2722628468396273,4,4,5
30,japan,Very High,Very Low,Low,-0.4932585338360117,45.91,-1.4568139389071546,-1.0941532263476714,-2.109268713987754,-0.6173718944664758,2013.0,0.4593809476109385,1,2,5
31,fiji,Very High,Medium,Medium,-0.5576341879891051,27.71,0.1195068311024833,-0.2297290069813636,0.2687765696283747,0.2170364235447896,2013.0,0.2770710207352499,3,3,5
32,chile,Very High,Low,Low,-0.7102283311668083,30.95,-0.6824961073162515,-0.7344412124823368,-0.8554271206671544,-0.2541200995573264,2013.0,0.3095261945307022,2,2,5
33,netherlands,High,Very Low,Very Low,-1.1298622249054917,30.57,-1.6333064949345784,-1.3553394689734053,-1.9688276523772608,-1.0621700106817602,2013.0,0.305719723530001,1,1,4
34,katar,Very Low,Very Low,Very Low,-2.1622569748421387,0.28,-0.959347175594563,-1.7763977177615098,-1.0242264735643811,0.0835969886802039,2013.0,0.0023039166583191,1,1,1
35,vanuatu,Very High,High,High,2.20336609013246,63.66,0.8765214709259922,0.6579324225829628,0.6644422528194739,1.1107511570514264,2015.0,0.6371832114594811,4,4,5
36,tonga,Very High,Medium,Medium,1.217464868195269,55.27,0.3392573665483932,0.0156559327097172,0.707654887161164,0.0910102906171256,2015.0,0.5531403385755785,3,3,5
37,philippines,Very High,High,High,1.161434206247206,52.46,0.5001770499851619,0.3149512000602021,0.5901705375446946,0.4303747792850832,2015.0,0.5249924872282881,4,4,5
38,guatemala,Very High,High,High,0.2220265123094716,36.3,0.6758044464242161,0.5491822788562343,0.5915209323678722,0.7219646554706586,2015.0,0.3631172994089952,4,4,5
39,solomon islands,Very High,Very High,High,0.1254630310798311,29.98,1.452717756780229,1.481459152000757,0.9682810880344818,1.6560406995227563,2015.0,0.2998096764499649,5,4,5
40,bangladesh,Very High,High,High,0.1218866058491039,31.7,1.1429906241438672,0.9702405276443384,1.0283736576658946,1.151112467596887,2015.0,0.3170389662426124,4,4,5
41,costa rica,Very High,Low,Medium,-0.1272710185582393,42.61,-0.6279910532489587,-0.651716744177389,-0.4712397934730663,-0.6404355004924536,2015.0,0.4263247520785335,2,3,5
42,cambodia,Very High,High,High,-0.1689959795833926,27.65,1.1499119008508254,1.0120675060007729,1.0553815541294511,1.1000430542536508,2015.0,0.276469998998297,4,4,5
43,el salvador,Very High,Medium,High,-0.1713802630705442,32.6,0.3444483240786117,0.1132522155413969,0.241768673164819,0.5877015203908601,2015.0,0.3260542922969047,3,4,5
44,brunei darussalam,Very High,Low,Low,-0.2488694764029718,41.1,-0.7153721716743007,-1.0086402928189613,-0.5428107191014906,-0.4872272604627445,2015.0,0.4111990383652208,2,2,5
45,mauritius,Very High,Low,Low,-0.4264985961957666,37.35,-0.7179676504394099,-0.964024849238765,-0.6609702661295491,-0.3900306350675527,2015.0,0.3736351798056696,2,2,5
46,nicaragua,Very High,High,High,-0.4300750214264939,27.23,0.5365137526966905,0.782483869244345,0.6111016573039508,0.0934813912627661,2015.0,0.2722628468396273,4,4,5
47,fiji,Very High,Medium,Medium,-0.5683634636812873,27.71,0.0935520434513918,-0.3505625000110626,0.2552726213965964,0.2648110360271719,2015.0,0.2770710207352499,3,3,5
48,japan,Very High,Very Low,Low,-0.5826691646041972,45.91,-1.59783495181142,-1.0197941537140105,-2.2578121445373127,-0.9056669697911972,2015.0,0.4593809476109385,1,2,5
49,chile,Very High,Low,Low,-0.8389796394729953,30.95,-0.982706484480546,-0.8292490300902544,-0.8972893601856664,-0.9781525887299842,2015.0,0.3095261945307022,2,2,5
50,netherlands,High,Very Low,Very Low,-1.1858928868535543,30.57,-1.7674062311318857,-1.2568136977338045,-1.947896532618005,-1.558037540240281,2015.0,0.305719723530001,1,1,4
51,katar,Very Low,Very Low,Very Low,-2.164641258329291,0.28,-1.5069931950325988,-1.819154184525865,-1.7851739564250784,-0.5144093675647895,2015.0,0.0023039166583191,1,1,1
52,vanuatu,Very High,High,High,2.177138971773792,63.66,0.8471060449214218,0.7239260995453368,0.6644422528194739,0.9666036193890656,2014.0,0.6371832114594811,4,4,5
53,philippines,Very High,High,High,1.1936220333237526,52.46,0.5451653485803879,0.440432135129505,0.5881449453099278,0.4493198842349938,2014.0,0.5249924872282881,4,4,5
54,tonga,Very High,Medium,Medium,1.1912377498366011,55.27,0.3055161426019739,0.0500470038027851,0.707654887161164,-0.0358395425257517,2014.0,0.5531403385755785,3,3,5
55,guatemala,Very High,High,High,0.2911707334368681,36.3,0.8159602997401112,0.8652083375492928,0.6428359356486294,0.7804473707508164,2014.0,0.3631172994089952,4,4,5
56,bangladesh,Very High,High,High,0.1350001650284377,31.7,1.172406050148438,1.0845676018185924,0.9946137870864492,1.1733523734076514,2014.0,0.3170389662426124,4,4,5
